#Distance_(pixels),Gray_Value
0,144.164
1,140.271
2,133.179
3,128.257
4,129.457
5,125.629
6,121.143
7,117.050
8,115.714
9,114.564
10,113.921
11,115.514
12,114.164
13,112.107
14,111.150
15,107.429
16,105.779
17,105.129
18,106.507
19,105.914
20,107.179
21,107.307
22,107.529
23,107.621
24,105.379
25,103.907
26,102.457
27,99.636
28,98.779
29,98.114
30,98.643
31,96.543
32,95.829
33,94.664
34,91.993
35,91.429
36,93.986
37,96.700
38,97.686
39,94.943
40,95.229
41,94.900
42,95.657
43,95.321
44,94.771
45,94.593
46,96.214
47,97.086
48,96.171
49,92.179
50,91.700
51,88.607
52,83.571
53,80.150
54,78.786
55,77.593
56,76.086
57,74.400
58,75.800
59,75.071
60,71.857
61,67.993
62,67.764
63,67.021
64,66.007
65,66.364
66,66.779
67,66.150
68,65.621
69,65.221
70,63.414
71,61.821
72,61.400
73,59.914
74,61.029
75,62.379
76,60.786
77,59.200
78,58.257
79,56.636
80,56.150
81,54.964
82,55.621
83,55.857
84,55.636
85,56.643
86,58.579
87,58.079
88,57.993
89,58.664
90,58.600
91,58.179
92,57.171
93,58.421
94,59.421
95,58.050
96,56.286
97,55.014
98,54.229
99,52.636
100,50.821
101,49.443
102,50.100
103,51.350
104,52.686
105,53.029
106,52.200
107,49.986
108,48.679
109,48.086
110,48.579
111,48.829
112,49.286
113,50.193
114,50.243
115,49.943
116,48.743
117,47.543
118,48.793
119,50.243
120,51.493
121,52.300
122,52.629
123,52.464
124,51.093
125,49.414
126,48.714
127,48.579
128,50.614
129,51.786
130,51.664
131,51.243
132,52.750
133,52.457
134,50.886
135,49.979
136,49.557
137,48.800
138,48.214
139,47.079
140,46.700
141,48.157
142,48.000
143,47.021
144,47.343
145,47.564
146,48.814
147,49.200
148,50.900
149,51.329
150,50.500
151,48.243
152,48.564
153,48.764
154,47.286
155,44.886
156,43.136
157,43.536
158,44.743
159,45.379
160,45.371
161,45.157
162,45.300
163,46.450
164,46.443
165,47.564
166,48.400
167,48.536
168,47.829
169,47.607
170,48.736
171,49.586
172,49.164
173,49.500
174,48.914
175,49.879
176,51.971
177,52.957
178,54.529
179,56.164
180,59.421
181,60.857
182,61.114
183,60.821
184,60.993
185,59.243
186,58.664
187,59.914
188,62.264
189,63.221
190,63.086
191,65.629
192,67.643
193,64.729
194,62.543
195,63.743
196,64.143
197,64.586
198,66.864
199,66.200
200,67.414
201,68.429
202,68.721
203,66.714
204,65.207
205,65.914
206,67.171
207,67.586
208,70.007
209,72.000
210,75.043
211,77.007
212,77.821
213,76.157
214,73.164
215,72.286
216,75.164
217,76.000
218,73.250
219,72.086
220,73.614
221,75.943
222,80.321
223,82.914
224,83.236
225,82.907
226,83.764
227,83.864
228,83.900
229,82.671
230,82.607
231,80.857
232,81.007
233,83.100
234,86.264
235,86.814
236,88.293
237,91.800
238,97.186
239,98.521
240,98.043
241,94.350
242,95.821
243,96.614
244,95.771
245,93.086
246,90.643
247,90.329
248,94.386
249,100.121
250,102.300
251,100.164
252,99.364
253,99.714
254,100.971
255,102.229
256,102.836
257,101.164
258,102.829
259,108.464
260,110.471
261,110.457
262,113.150
263,116.729
264,120.971
265,121.664
266,123.414
267,125.550
268,127.750
269,129.093
270,131.957
271,130.550
272,127.621
273,124.271
274,127.136
275,131.314
276,132.036
277,129.600
278,127.700
279,126.821
280,124.343
281,118.200
282,114.507
283,110.771
284,110.400
285,112.757
286,116.871
287,121.257
288,122.250
289,119.521
290,120.807
291,123.657
292,123.186
293,121.929
294,124.600
295,126.379
296,127.950
297,125.986
298,122.021
299,122.243
300,121.929
301,119.864
302,121.343
303,118.714
304,115.293
305,115.079
306,120.814
307,125.871
308,130.064
309,128.364
310,126.779
311,126.043
312,129.700
313,130.179
314,130.200
