#Distance_(pixels),Gray_Value
0,32.235
1,32.189
2,32.187
3,32.069
4,31.810
5,31.293
6,30.959
7,30.763
8,30.685
9,30.503
10,30.418
11,30.424
12,30.028
13,29.855
14,29.778
15,29.830
16,29.715
17,29.670
18,29.622
19,29.618
20,29.655
21,29.875
22,30.236
23,30.643
24,30.909
25,31.339
26,31.694
27,32.117
28,32.480
29,32.462
30,32.415
31,32.666
32,32.742
33,32.786
34,33.030
35,33.405
36,34.058
37,34.316
38,34.303
39,34.701
40,35.150
41,35.695
42,36.269
43,37.090
44,37.953
45,38.665
46,39.030
47,39.651
48,40.457
49,41.314
50,41.731
51,42.402
52,43.189
53,43.460
54,43.598
55,44.131
56,44.905
57,45.602
58,46.159
59,46.716
60,47.441
61,48.163
62,48.750
63,49.294
64,50.269
65,51.496
66,52.799
67,53.787
68,54.685
69,55.626
70,56.353
71,57.184
72,58.250
73,59.345
74,59.715
75,60.051
76,60.759
77,61.675
78,62.883
79,63.568
80,64.208
81,65.350
82,66.345
83,67.066
84,67.430
85,67.921
86,68.088
87,69.007
88,69.758
89,70.377
90,70.628
91,71.284
92,72.008
93,72.856
94,73.374
95,74.191
96,74.652
97,74.922
98,75.468
99,76.790
100,78.007
101,79.006
102,79.497
103,80.250
104,81.557
105,81.886
106,81.983
107,81.145
108,81.380
109,82.007
110,82.315
111,82.066
112,82.379
113,82.226
114,81.747
115,82.135
116,83.036
117,83.994
118,85.292
119,86.459
120,86.193
121,86.013
122,86.342
123,87.250
124,86.659
125,86.245
126,86.737
127,86.982
128,86.970
129,87.051
130,87.411
131,87.354
132,86.963
133,86.509
134,86.621
135,86.711
136,87.012
137,87.460
138,87.224
139,87.427
140,88.170
141,88.703
142,88.881
143,88.424
144,87.916
145,87.751
146,87.529
147,87.456
148,87.290
149,86.709
150,85.650
151,84.216
152,82.956
153,81.893
154,81.180
155,80.265
156,79.000
157,78.027
158,77.332
159,77.104
160,77.091
161,77.332
162,77.194
163,76.187
164,74.656
165,73.664
166,72.935
167,72.911
168,72.604
169,71.722
170,70.889
171,70.576
172,70.339
173,70.292
174,69.728
175,68.753
176,67.503
177,66.398
178,65.619
179,64.520
180,63.574
181,62.903
182,62.297
183,61.798
184,61.565
185,61.507
186,60.964
187,60.329
188,59.807
189,59.401
190,58.494
191,57.658
192,56.708
193,55.480
194,54.369
195,53.643
196,53.316
197,52.781
198,52.307
199,52.020
200,51.645
201,51.033
202,50.513
203,49.681
204,48.924
205,48.272
206,47.785
207,47.282
208,46.695
209,46.236
210,45.755
211,45.373
212,44.976
213,44.780
214,44.568
215,44.374
216,43.973
217,43.081
218,42.354
219,41.970
220,41.796
221,41.574
222,41.770
223,42.062
224,42.075
225,41.885
226,41.979
227,42.208
228,42.438
229,42.444
230,42.314
231,42.423
232,42.445
233,42.473
234,42.611
235,42.412
