Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	10:42:01
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          206 	
        2	          259 	
        3	          245 	
        4	          209 	
        5	          213 	
        6	          241 	
        7	          228 	
        8	          244 	
        9	          210 	
       10	          229 	
       11	          224 	
       12	          268 	
       13	          241 	
       14	          238 	
       15	          254 	
       16	          194 	
       17	          245 	
       18	          248 	
       19	          207 	
       20	          224 	
       21	          240 	
       22	          254 	
       23	          237 	
       24	          211 	
       25	          209 	
       26	          215 	
       27	          240 	
       28	          225 	
       29	          227 	
       30	          178 	
       31	          224 	
       32	          247 	
       33	          252 	
       34	          198 	
       35	          234 	
       36	          245 	
       37	          218 	
       38	          238 	
       39	          222 	
       40	          213 	
       41	          250 	
       42	          228 	
       43	          225 	
       44	          221 	
       45	          259 	
       46	          239 	
       47	          228 	
       48	          262 	
       49	          222 	
       50	          235 	
       51	          245 	
       52	          250 	
       53	          227 	
       54	          197 	
       55	          233 	
       56	          222 	
       57	          242 	
       58	          243 	
       59	          228 	
       60	          240 	
       61	          241 	
       62	          216 	
       63	          209 	
       64	          201 	
       65	          208 	
       66	          231 	
       67	          217 	
       68	          228 	
       69	          222 	
       70	          258 	
       71	          225 	
       72	          225 	
       73	          205 	
       74	          248 	
       75	          257 	
       76	          260 	
       77	          226 	
       78	          231 	
       79	          216 	
       80	          239 	
       81	          223 	
       82	          215 	
       83	          210 	
       84	          226 	
       85	          227 	
       86	          227 	
       87	          211 	
       88	          241 	
       89	          249 	
       90	          242 	
       91	          237 	
       92	          209 	
       93	          220 	
       94	          219 	
       95	          241 	
       96	          225 	
       97	          218 	
       98	          229 	
       99	          258 	
      100	          212 	
      101	          214 	
      102	          212 	
      103	          242 	
      104	          231 	
      105	          232 	
      106	          223 	
      107	          226 	
      108	          226 	
      109	          247 	
      110	          223 	
      111	          220 	
      112	          209 	
      113	          251 	
      114	          236 	
      115	          212 	
      116	          229 	
      117	          232 	
      118	          232 	
      119	          234 	
      120	          244 	
      121	          242 	
      122	          229 	
      123	          231 	
      124	          217 	
      125	          234 	
      126	          207 	
      127	          227 	
      128	          182 	
      129	          215 	
      130	          228 	
      131	          271 	
      132	          247 	
      133	          235 	
      134	          186 	
      135	          204 	
      136	          263 	
      137	          218 	
      138	          229 	
      139	          225 	
      140	          252 	
      141	          237 	
      142	          238 	
      143	          238 	
      144	          209 	
      145	          238 	
      146	          255 	
      147	          239 	
      148	          232 	
      149	          248 	
      150	          200 	
      151	          234 	
      152	          223 	
      153	          246 	
      154	          216 	
      155	          207 	
      156	          212 	
      157	          240 	
      158	          237 	
      159	          235 	
      160	          223 	
      161	          242 	
      162	          231 	
      163	          214 	
      164	          222 	
      165	          233 	
      166	          221 	
      167	          219 	
      168	          201 	
      169	          194 	
      170	          212 	
      171	          247 	
      172	          212 	
      173	          221 	
      174	          249 	
      175	          206 	
      176	          247 	
      177	          243 	
      178	          236 	
      179	          247 	
      180	          209 	
      181	          241 	
      182	          247 	
      183	          233 	
      184	          220 	
      185	          228 	
      186	          245 	
      187	          224 	
      188	          232 	
      189	          229 	
      190	          241 	
      191	          234 	
      192	          248 	
      193	          222 	
      194	          212 	
      195	          220 	
      196	          261 	
      197	          208 	
      198	          201 	
      199	          189 	
      200	          222 	
      201	          233 	
      202	          210 	
      203	          250 	
      204	          258 	
      205	          229 	
      206	          188 	
