Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:16:58
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	        13365 	
        2	        13495 	
        3	        13482 	
        4	        13660 	
        5	        13356 	
        6	        13570 	
        7	        13284 	
        8	        13432 	
        9	        13465 	
       10	        13526 	
       11	        13298 	
       12	        13690 	
       13	        13420 	
       14	        13634 	
       15	        13628 	
       16	        13484 	
       17	        13204 	
       18	        13400 	
       19	        13524 	
       20	        13224 	
       21	        13551 	
       22	        13494 	
       23	        13385 	
       24	        13496 	
       25	        13492 	
       26	        13371 	
       27	        13299 	
       28	        13309 	
       29	        13579 	
       30	        13496 	
       31	        13507 	
       32	        13637 	
       33	        13241 	
       34	        13388 	
       35	        13699 	
       36	        13447 	
       37	        13540 	
       38	        13501 	
       39	        13416 	
       40	        13528 	
       41	        13573 	
       42	        13496 	
       43	        13417 	
       44	        13498 	
       45	        13729 	
       46	        13388 	
       47	        13491 	
       48	        13225 	
       49	        13506 	
       50	        13471 	
       51	        13413 	
       52	        13339 	
       53	        13358 	
       54	        13558 	
       55	        13378 	
       56	        13427 	
       57	        13440 	
       58	        13556 	
       59	        13365 	
       60	        13314 	
       61	        13416 	
       62	        13409 	
       63	        13311 	
       64	        13345 	
       65	        13546 	
       66	        13671 	
       67	        13479 	
       68	        13630 	
       69	        13399 	
       70	        13579 	
       71	        13569 	
       72	        13749 	
       73	        13643 	
       74	        13680 	
       75	        13521 	
       76	        13328 	
       77	        13354 	
       78	        13309 	
       79	        13468 	
       80	        13563 	
       81	        13310 	
       82	        13446 	
       83	        13379 	
       84	        13208 	
       85	        13678 	
       86	        13546 	
       87	        13506 	
       88	        13253 	
       89	        13527 	
       90	        13523 	
       91	        13412 	
       92	        13487 	
       93	        13618 	
       94	        13639 	
       95	        13515 	
       96	        13396 	
       97	        13637 	
       98	        13637 	
       99	        13591 	
      100	        13568 	
      101	        13393 	
      102	        13358 	
      103	        13564 	
      104	        13821 	
      105	        13460 	
      106	        13508 	
      107	        13594 	
      108	        13488 	
      109	        13566 	
      110	        13457 	
      111	        13566 	
      112	        13506 	
      113	        13505 	
      114	        13408 	
      115	        13303 	
      116	        13426 	
      117	        13545 	
      118	        13229 	
      119	        13318 	
      120	        13612 	
      121	        13419 	
      122	        13391 	
      123	        13426 	
      124	        13535 	
      125	        13509 	
      126	        13600 	
      127	        13552 	
      128	        13565 	
      129	        13247 	
      130	        13509 	
      131	        13349 	
      132	        13478 	
      133	        13755 	
      134	        13462 	
      135	        13335 	
      136	        13459 	
      137	        13384 	
      138	        13601 	
      139	        13322 	
      140	        13482 	
      141	        13354 	
      142	        13394 	
      143	        13312 	
      144	        13290 	
      145	        13377 	
      146	        13344 	
      147	        13635 	
      148	        13493 	
      149	        13401 	
      150	        13274 	
      151	        13557 	
      152	        13426 	
      153	        13375 	
      154	        13464 	
      155	        13721 	
      156	        13522 	
      157	        13600 	
      158	        13339 	
      159	        13544 	
      160	        13338 	
      161	        13306 	
      162	        13555 	
      163	        13192 	
      164	        13686 	
      165	        13621 	
      166	        13391 	
      167	        13458 	
      168	        13403 	
      169	        13350 	
      170	        13468 	
      171	        13332 	
      172	        13319 	
      173	        13430 	
      174	        13507 	
      175	        13469 	
      176	        13337 	
      177	        13560 	
      178	        13558 	
      179	        13475 	
      180	        13471 	
      181	        13415 	
      182	        13363 	
      183	        13589 	
      184	        13477 	
      185	        13466 	
      186	        13487 	
      187	        13504 	
      188	        13454 	
      189	        13402 	
      190	        13516 	
      191	        13370 	
      192	        13803 	
      193	        13321 	
      194	        13498 	
      195	        13730 	
      196	        13405 	
      197	        13660 	
      198	        13565 	
      199	        13438 	
      200	        13415 	
      201	        13324 	
