Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:12:00
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       177632 	
        2	       177560 	
        3	       176383 	
        4	       176850 	
        5	       176597 	
        6	       177780 	
        7	       176651 	
        8	       177442 	
        9	       177888 	
       10	       176928 	
       11	       177035 	
       12	       177125 	
       13	       176371 	
       14	       176791 	
       15	       177335 	
       16	       177446 	
       17	       176972 	
       18	       177053 	
       19	       177257 	
       20	       177615 	
       21	       177365 	
       22	       177485 	
       23	       176883 	
       24	       177485 	
       25	       177004 	
       26	       177201 	
       27	       177621 	
       28	       176851 	
       29	       176865 	
       30	       177482 	
       31	       177648 	
       32	       176519 	
       33	       177644 	
       34	       176892 	
       35	       176907 	
       36	       177095 	
       37	       177225 	
       38	       177401 	
       39	       176888 	
       40	       176168 	
       41	       177324 	
       42	       177454 	
       43	       177512 	
       44	       177570 	
       45	       176769 	
       46	       176999 	
       47	       176455 	
       48	       176976 	
       49	       176940 	
       50	       177278 	
       51	       177086 	
       52	       177553 	
       53	       176518 	
       54	       177511 	
       55	       177378 	
       56	       177028 	
       57	       177052 	
       58	       177692 	
       59	       177041 	
       60	       177069 	
       61	       177296 	
       62	       176970 	
       63	       176980 	
       64	       177074 	
       65	       176817 	
       66	       176918 	
       67	       177739 	
       68	       177853 	
       69	       177142 	
       70	       177056 	
       71	       177102 	
       72	       176857 	
       73	       176467 	
       74	       177126 	
       75	       176466 	
       76	       176824 	
       77	       176279 	
       78	       176508 	
       79	       176770 	
       80	       177083 	
       81	       177366 	
       82	       176783 	
       83	       177159 	
       84	       177026 	
       85	       177427 	
       86	       177347 	
       87	       177069 	
       88	       176298 	
       89	       176900 	
       90	       177370 	
       91	       176725 	
       92	       176938 	
       93	       177089 	
       94	       177053 	
       95	       177493 	
       96	       176834 	
       97	       176739 	
       98	       176246 	
       99	       176562 	
      100	       176974 	
      101	       176519 	
      102	       176883 	
      103	       176134 	
      104	       177433 	
      105	       176892 	
      106	       177389 	
      107	       177063 	
      108	       176167 	
      109	       177675 	
      110	       177010 	
      111	       176923 	
      112	       177068 	
      113	       176754 	
      114	       176783 	
      115	       176891 	
      116	       177476 	
      117	       176903 	
      118	       177255 	
      119	       177300 	
      120	       177299 	
      121	       177789 	
      122	       176398 	
      123	       176759 	
      124	       177498 	
      125	       177043 	
      126	       177260 	
      127	       176510 	
      128	       177358 	
      129	       177381 	
      130	       177333 	
      131	       177045 	
      132	       176932 	
      133	       176352 	
      134	       176651 	
      135	       176367 	
      136	       176647 	
      137	       177086 	
      138	       176727 	
      139	       177574 	
      140	       177144 	
      141	       177624 	
      142	       177109 	
      143	       176462 	
      144	       176505 	
      145	       177471 	
      146	       176868 	
      147	       176975 	
      148	       177083 	
      149	       177206 	
      150	       176731 	
      151	       177311 	
      152	       176840 	
      153	       176466 	
      154	       177151 	
      155	       177047 	
      156	       177720 	
      157	       176841 	
      158	       176475 	
      159	       176681 	
      160	       176827 	
      161	       177513 	
      162	       177010 	
      163	       176363 	
      164	       176768 	
      165	       177204 	
      166	       176323 	
      167	       176838 	
      168	       177329 	
      169	       177231 	
      170	       176432 	
      171	       176731 	
      172	       177689 	
      173	       177140 	
      174	       177354 	
      175	       177305 	
      176	       176891 	
      177	       176969 	
      178	       177250 	
      179	       177275 	
      180	       176347 	
      181	       177134 	
      182	       176721 	
      183	       177131 	
      184	       177686 	
      185	       177277 	
      186	       177696 	
      187	       177216 	
      188	       176257 	
      189	       177423 	
      190	       176840 	
      191	       177237 	
      192	       177144 	
      193	       177246 	
      194	       176802 	
      195	       176551 	
      196	       177042 	
      197	       177030 	
      198	       177018 	
      199	       177762 	
      200	       177189 	
      201	       177097 	
      202	       176896 	
      203	       176609 	
      204	       177587 	
      205	       176750 	
