Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	13:13:12
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         3265 	
        2	         3098 	
        3	         3176 	
        4	         3181 	
        5	         3175 	
        6	         3133 	
        7	         3237 	
        8	         3134 	
        9	         3069 	
       10	         3259 	
       11	         3067 	
       12	         3206 	
       13	         3122 	
       14	         3220 	
       15	         3080 	
       16	         3141 	
       17	         3282 	
       18	         3218 	
       19	         3109 	
       20	         3186 	
       21	         3069 	
       22	         3151 	
       23	         3157 	
       24	         3184 	
       25	         3178 	
       26	         3053 	
       27	         3185 	
       28	         3190 	
       29	         3105 	
       30	         3321 	
       31	         3161 	
       32	         3112 	
       33	         3181 	
       34	         3175 	
       35	         3091 	
       36	         3078 	
       37	         3196 	
       38	         3077 	
       39	         3128 	
       40	         3167 	
       41	         3240 	
       42	         3191 	
       43	         3191 	
       44	         3238 	
       45	         3144 	
       46	         3130 	
       47	         3221 	
       48	         3140 	
       49	         3214 	
       50	         3082 	
       51	         3088 	
       52	         3169 	
       53	         3125 	
       54	         3112 	
       55	         3211 	
       56	         3138 	
       57	         3106 	
       58	         3247 	
       59	         3150 	
       60	         3097 	
       61	         3174 	
       62	         3243 	
       63	         3172 	
       64	         3097 	
       65	         3090 	
       66	         3195 	
       67	         3139 	
       68	         3174 	
       69	         3164 	
       70	         3191 	
       71	         3231 	
       72	         3197 	
       73	         3123 	
       74	         3089 	
       75	         3085 	
       76	         3176 	
       77	         3211 	
       78	         3179 	
       79	         3139 	
       80	         3200 	
       81	         3172 	
       82	         3179 	
       83	         3238 	
       84	         3216 	
       85	         3128 	
       86	         3066 	
       87	         3244 	
       88	         3163 	
       89	         3140 	
       90	         3301 	
       91	         3142 	
       92	         3198 	
       93	         3128 	
       94	         3169 	
       95	         3060 	
       96	         3177 	
       97	         3162 	
       98	         3167 	
       99	         3186 	
      100	         3203 	
      101	         3125 	
      102	         3127 	
      103	         3092 	
      104	         3118 	
      105	         3175 	
      106	         3262 	
      107	         3144 	
      108	         3162 	
      109	         3191 	
      110	         3192 	
      111	         3101 	
      112	         3282 	
      113	         3203 	
      114	         3131 	
      115	         3158 	
      116	         3160 	
      117	         3051 	
      118	         3192 	
      119	         3064 	
      120	         3225 	
      121	         3187 	
      122	         3145 	
      123	         3162 	
      124	         3276 	
      125	         3295 	
      126	         3183 	
      127	         3208 	
      128	         3083 	
      129	         3115 	
      130	         3150 	
      131	         3273 	
      132	         3134 	
      133	         3175 	
      134	         3197 	
      135	         3195 	
      136	         3157 	
      137	         3183 	
      138	         3228 	
      139	         3215 	
      140	         3118 	
      141	         3090 	
      142	         3073 	
      143	         3130 	
      144	         3210 	
      145	         3154 	
      146	         3103 	
      147	         3238 	
      148	         3152 	
      149	         3114 	
      150	         3220 	
      151	         3156 	
      152	         3265 	
      153	         3116 	
      154	         3210 	
      155	         3207 	
      156	         3179 	
      157	         3152 	
      158	         3060 	
      159	         3185 	
      160	         3148 	
      161	         3161 	
      162	         3204 	
      163	         3095 	
      164	         3164 	
      165	         3302 	
      166	         3265 	
      167	         3162 	
      168	         3101 	
      169	         3129 	
      170	         3161 	
      171	         3204 	
      172	         3225 	
      173	         3140 	
      174	         3217 	
      175	         3224 	
      176	         3110 	
      177	         3217 	
      178	         3155 	
      179	         3165 	
      180	         3238 	
      181	         3149 	
      182	         3228 	
      183	         3092 	
      184	         3232 	
      185	         3118 	
      186	         3157 	
      187	         3150 	
      188	         3134 	
      189	         3131 	
      190	         3167 	
      191	         3155 	
      192	         3159 	
      193	         3228 	
      194	         3135 	
      195	         3151 	
      196	         3211 	
      197	         3150 	
      198	         3182 	
      199	         3116 	
      200	         3165 	
      201	         3136 	
      202	         3130 	
      203	         3053 	
      204	         3036 	
      205	         3168 	
