Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	10:24:16
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           13 	
        2	            8 	
        3	            2 	
        4	            7 	
        5	            7 	
        6	            5 	
        7	            9 	
        8	           12 	
        9	           10 	
       10	            7 	
       11	            6 	
       12	            6 	
       13	           11 	
       14	           10 	
       15	            6 	
       16	            8 	
       17	            5 	
       18	            7 	
       19	            8 	
       20	            5 	
       21	           12 	
       22	           10 	
       23	           14 	
       24	            8 	
       25	           10 	
       26	            4 	
       27	            6 	
       28	            9 	
       29	            3 	
       30	            9 	
       31	            9 	
       32	            7 	
       33	            3 	
       34	            7 	
       35	            8 	
       36	            2 	
       37	            6 	
       38	            7 	
       39	            4 	
       40	            4 	
       41	            5 	
       42	            6 	
       43	           10 	
       44	            9 	
       45	            9 	
       46	            5 	
       47	            8 	
       48	            7 	
       49	            7 	
       50	            9 	
       51	            5 	
       52	            6 	
       53	            7 	
       54	            6 	
       55	            4 	
       56	            3 	
       57	            9 	
       58	            4 	
       59	           10 	
       60	            6 	
       61	            5 	
       62	            6 	
       63	            6 	
       64	           11 	
       65	           10 	
       66	           10 	
       67	            5 	
       68	           11 	
       69	            2 	
       70	            8 	
       71	            7 	
       72	            5 	
       73	            3 	
       74	            3 	
       75	            8 	
       76	            2 	
       77	            5 	
       78	           11 	
       79	            8 	
       80	            5 	
       81	            6 	
       82	            5 	
       83	            9 	
       84	            5 	
       85	            8 	
       86	            2 	
       87	            9 	
       88	            8 	
       89	            8 	
       90	            5 	
       91	            7 	
       92	            5 	
       93	           16 	
       94	           11 	
       95	            3 	
       96	            9 	
       97	            7 	
       98	           13 	
       99	            3 	
      100	            6 	
      101	            9 	
      102	            5 	
      103	            6 	
      104	            7 	
      105	            6 	
      106	            9 	
      107	            7 	
      108	            6 	
      109	            5 	
      110	            5 	
      111	            4 	
      112	           21 	
      113	            8 	
      114	            7 	
      115	            6 	
      116	            8 	
      117	           12 	
      118	            7 	
      119	           12 	
      120	            6 	
      121	           15 	
      122	            7 	
      123	           14 	
      124	            6 	
      125	            4 	
      126	            8 	
      127	            7 	
      128	            5 	
      129	           10 	
      130	            8 	
      131	            9 	
      132	           12 	
      133	            9 	
      134	            7 	
      135	           14 	
      136	            8 	
      137	           12 	
      138	            8 	
      139	            8 	
      140	            9 	
      141	            4 	
      142	           11 	
      143	           11 	
      144	            8 	
      145	            3 	
      146	            5 	
      147	           17 	
      148	            2 	
      149	            5 	
      150	            3 	
      151	            6 	
      152	           12 	
      153	            9 	
      154	            8 	
      155	           20 	
      156	            8 	
      157	            5 	
      158	            7 	
      159	            7 	
      160	           11 	
      161	            7 	
      162	            9 	
      163	            6 	
      164	           15 	
      165	            5 	
      166	           11 	
      167	            9 	
      168	            8 	
      169	           10 	
      170	            9 	
      171	            5 	
      172	           10 	
      173	            9 	
      174	            9 	
      175	           10 	
      176	            8 	
      177	            6 	
      178	           10 	
      179	           12 	
      180	            5 	
      181	           10 	
      182	            7 	
      183	            8 	
      184	            8 	
      185	            7 	
      186	            3 	
      187	            9 	
      188	           11 	
      189	            6 	
      190	           10 	
      191	           14 	
      192	            9 	
      193	            7 	
      194	            9 	
      195	           12 	
      196	            6 	
      197	            9 	
      198	           13 	
      199	           12 	
      200	           12 	
      201	           18 	
      202	           10 	
      203	           11 	
      204	            5 	
      205	            8 	
      206	            7 	
      207	            9 	
      208	           11 	
      209	            6 	
      210	            5 	
      211	            4 	
