#Distance_(pixels),Gray_Value
0,67.8154
1,67.5795
2,68.1103
3,67.9564
4,68.3462
5,67.7205
6,68.3128
7,67.8026
8,66.6769
9,66.5333
10,66.6846
11,65.2744
12,65.0026
13,65.8462
14,67.4923
15,66.2385
16,65.3846
17,65.6564
18,66.8179
19,66.5487
20,65.8308
21,66.9564
22,68.5333
23,67.2179
24,66.6897
25,66.3154
26,67.3872
27,66.2051
28,65.2487
29,64.6897
30,64.7436
31,64.3000
32,64.0615
33,65.1385
34,65.8487
35,66.2744
36,67.0692
37,67.7026
38,67.2385
39,66.5308
40,66.9308
41,66.6974
42,65.2308
43,64.0487
44,65.5923
45,67.3949
46,67.4949
47,67.3795
48,68.2949
49,68.4795
50,68.4923
51,66.9077
52,67.2282
53,67.9795
54,67.6462
55,66.8359
56,67.8769
57,67.4513
58,66.4718
59,65.6974
60,66.4359
61,66.5333
62,66.2179
63,65.9436
64,66.5897
65,67.7667
66,68.5436
67,67.5282
68,67.4103
69,66.4769
70,64.8769
71,64.6180
72,64.2923
73,63.1897
74,62.2333
75,61.4077
76,60.7897
77,59.6949
78,58.9179
79,58.0949
80,58.7051
81,59.4615
82,59.9462
83,59.1205
84,58.7769
85,58.0564
86,57.6410
87,56.3103
88,55.5256
89,55.3692
90,55.4026
91,54.7333
92,55.1410
93,54.5667
94,52.5359
95,51.4026
96,50.8820
97,50.6949
98,49.9231
99,49.5231
100,51.3487
101,51.9641
102,51.8718
103,51.3462
104,51.2949
105,50.3846
106,49.8590
107,48.6718
108,47.1205
109,46.0462
110,45.7154
111,44.7821
112,42.9821
113,42.6923
114,43.0692
115,42.6180
116,42.5103
117,41.5282
118,40.5923
119,39.8820
120,39.3718
121,38.1333
122,37.4897
123,37.5769
124,36.9000
125,35.6103
126,35.6026
127,35.0205
128,34.6026
129,33.9718
130,34.2051
131,33.9692
132,33.7590
133,32.7513
134,32.7077
135,33.1154
136,32.9333
137,32.3256
138,32.5256
139,32.6231
140,33.3333
141,32.6564
142,32.1128
143,31.9846
144,32.3641
145,32.3077
146,32.4897
147,32.5179
148,33.0872
149,32.4103
150,31.4821
151,31.0795
152,31.4897
153,31.4949
154,31.0590
155,30.5077
156,30.0846
157,29.8359
158,29.0179
159,28.6359
160,28.7256
161,29.0846
162,28.9974
163,28.1103
164,27.3872
165,26.5333
166,26.0462
167,25.4641
168,24.3333
169,23.6205
170,23.1410
171,22.6231
172,21.6410
173,20.5641
174,20.4231
175,19.8615
176,19.4641
177,19.2128
178,19.3128
179,19.2513
180,19.2436
181,18.5462
182,18.3974
183,18.9179
184,19.2615
185,19.3615
186,19.3051
187,19.1641
188,18.9846
189,18.8410
190,18.4974
191,18.4949
192,18.6564
193,18.3462
194,17.8538
195,17.8359
196,17.8385
197,17.5538
198,17.6103
199,17.5436
200,17.4231
201,17.7513
202,18.0692
203,18.2949
204,18.5795
205,18.5128
206,18.3051
207,18.3795
208,18.2795
209,17.9256
210,18.0667
211,17.8949
212,17.9308
213,17.4923
214,17.4436
215,17.8179
216,18.1154
217,18.0538
218,18.1923
219,18.2436
220,18.8641
221,19.0385
222,19.3179
223,19.3923
224,19.6308
225,20.0026
226,19.8949
227,19.6333
228,19.5154
229,19.3051
230,19.8667
231,20.1410
232,20.0128
233,20.4513
234,21.7282
235,22.0077
236,21.8795
237,22.3385
238,23.1744
239,23.5795
240,24.4949
241,24.7026
242,24.8769
243,25.4359
244,26.2795
245,25.7923
246,25.1821
247,24.8615
248,25.1769
249,25.4667
250,24.8667
251,24.4462
252,24.3000
253,24.3359
254,24.2846
255,24.3256
256,24.1179
257,24.2744
258,25.1205
259,25.6256
260,26.3718
261,27.1051
262,27.4410
263,28.1103
264,29.3179
265,29.8051
266,30.3462
267,31.2026
268,31.3564
269,30.9282
270,31.1846
271,31.4000
272,32.0923
273,32.9949
274,33.0923
275,33.0000
276,33.2410
277,33.6923
278,34.5179
279,35.2026
280,34.5872
281,34.8179
282,36.2231
283,36.2487
284,36.5256
285,36.3282
286,36.5872
287,37.0769
288,37.4641
289,37.8026
290,38.2179
291,38.6744
292,38.6590
293,38.3744
294,37.9795
295,37.4436
296,37.7462
297,38.1487
298,38.2974
299,38.5564
300,38.7051
301,38.2872
302,38.6538
303,39.9154
304,41.3282
305,42.0795
306,43.3385
307,43.8000
308,44.6718
309,45.9333
310,46.9385
311,47.0564
312,47.8256
313,49.4103
314,50.6154
315,51.3436
316,51.6026
317,51.9051
318,51.5846
319,51.9718
320,53.5385
321,53.4846
322,52.8256
323,53.4077
324,54.2615
325,55.2000
326,56.5974
327,57.4744
328,56.8256
329,55.8077
330,55.6641
331,56.5949
332,57.2026
333,55.7590
334,55.1462
335,56.6308
336,57.2205
337,56.8897
338,56.8641
339,55.9462
340,55.3436
341,55.4923
342,55.5077
343,56.0615
344,55.6385
345,54.6923
346,55.3872
347,56.6513
348,57.9410
349,58.4641
350,58.4231
351,56.9154
352,57.3462
353,59.2692
354,61.4051
355,61.7769
356,61.4154
357,59.9385
358,60.8513
359,63.1205
360,65.1667
361,64.3897
362,63.8128
363,64.3308
364,66.0744
365,68.2923
366,70.1897
367,68.9615
368,67.9744
369,68.1205
370,69.8308
371,70.9795
372,72.6308
373,71.4333
374,70.1000
375,69.9513
376,71.7538
377,73.3205
378,74.1103
379,72.9897
380,73.6692
381,74.7462
382,77.4103
383,78.9795
384,79.1846
385,79.1000
386,78.2641
387,77.8436
388,78.2769
389,76.2923
390,75.5077
391,74.6821
392,74.0077
393,72.2513
394,73.4692
395,74.8846
396,75.8051
397,74.8872
398,75.6487
399,75.9051
400,76.0359
401,75.9282
402,76.6180
403,78.1769
404,79.1385
405,80.6846
406,82.8718
407,82.1590
408,82.7103
409,83.6974
410,84.8436
411,83.9590
412,83.9051
413,83.0718
414,82.3282
415,82.2179
416,81.2026
417,79.9513
418,80.1974
419,80.6590
