#Distance_(pixels),Gray_Value
0,55.1640
1,54.3400
2,52.8907
3,51.2724
4,50.1710
5,49.2584
6,48.5209
7,47.8330
8,47.9473
9,48.2634
10,48.1074
11,47.6769
12,47.8410
13,48.0268
14,48.4066
15,49.1640
16,50.1700
17,51.4076
18,52.7455
19,53.7207
20,54.6481
21,55.9851
22,57.5328
23,59.1163
24,60.1610
25,60.9165
26,61.9046
27,63.2455
28,63.6054
29,64.1034
30,65.1759
31,66.3400
32,68.6958
33,71.0875
34,72.1839
35,72.5388
36,73.5636
37,74.1819
38,74.2475
39,73.3211
40,72.8032
41,71.9742
42,71.1670
43,70.5656
44,70.6829
45,69.7734
46,68.3042
47,67.2565
48,66.0835
49,64.9950
50,63.8748
51,61.8390
52,60.1451
53,58.6243
54,56.9901
55,55.9225
56,54.7207
57,53.2197
58,51.8807
59,50.4254
60,49.5855
61,49.3410
62,49.0905
63,49.0109
64,48.9304
65,48.3966
66,48.0517
67,48.1322
68,48.1233
69,48.5944
70,49.9086
71,51.9751
72,53.6958
73,54.9314
74,55.9761
75,56.7803
76,57.6054
77,58.9901
78,60.6700
79,62.0089
80,63.3300
81,64.6759
82,65.6859
83,67.5139
84,69.6431
85,70.1213
86,70.7425
87,71.8101
88,72.7982
89,73.7207
90,74.6909
91,75.3827
92,76.0964
93,76.9911
94,76.5875
95,75.5457
96,75.0606
97,75.7237
98,76.4205
99,75.9622
100,75.3400
101,74.8449
102,74.5915
103,73.8419
104,72.8211
105,71.4066
106,70.0537
107,68.5736
108,67.0984
109,65.8419
110,64.5030
111,63.0646
112,62.0050
113,60.8370
114,59.2227
115,57.5557
116,56.1093
117,54.6153
118,53.5954
119,53.1064
120,52.8996
121,53.0457
122,53.2903
123,53.6272
124,53.8837
125,54.5358
126,55.9980
127,57.8260
128,58.6312
129,59.1958
130,60.7982
131,63.5388
132,66.3161
133,68.7783
134,71.5139
135,74.3360
136,76.7217
137,78.8410
138,80.0199
139,80.2893
140,81.6779
141,83.8449
142,85.3310
143,86.2097
144,87.2058
145,87.4891
146,87.7893
147,88.3618
148,88.4861
149,88.8340
150,88.7227
151,88.5487
152,88.8260
153,89.5219
154,89.3211
155,88.0398
156,86.2336
157,84.4642
158,83.7704
159,82.5268
160,80.3022
161,77.7604
162,75.2753
163,73.3370
164,71.2177
165,68.3360
166,65.3191
167,62.7097
168,60.8121
169,59.4175
170,57.6650
171,55.9821
172,54.1958
173,52.7078
174,52.1243
175,51.5557
176,51.0845
177,51.0408
178,51.5229
179,52.0636
180,52.5050
181,53.2217
182,54.4364
183,56.1481
184,57.9225
185,60.2435
186,62.0795
187,64.2734
188,66.5060
189,69.2107
190,72.0348
191,75.6481
192,79.5865
193,81.8479
194,83.3996
195,86.2187
196,89.0517
197,90.9085
198,92.3280
199,93.8241
200,95.5209
201,96.8072
202,97.1392
203,96.3797
204,95.3449
205,94.3559
206,94.1372
207,94.5050
208,94.2883
209,92.8976
210,90.5895
211,89.3072
212,88.4294
213,86.0408
214,83.0895
215,80.4453
216,77.3330
217,73.8062
218,71.0497
219,68.6292
220,66.0189
221,63.4026
222,61.4463
223,59.7843
224,57.6352
225,55.3549
226,53.2177
227,51.2734
228,50.2903
229,49.7922
230,49.4125
231,48.6213
232,48.0577
233,48.3211
234,49.5537
235,51.1461
236,52.7068
237,54.8072
238,56.9841
239,59.6382
240,62.7157
241,65.1819
242,67.1789
243,69.4245
244,72.1292
245,75.3419
246,79.3360
247,82.5000
248,84.8658
249,87.2883
250,90.5825
251,92.7465
252,93.5308
253,94.3439
254,94.7962
255,95.4443
256,96.2614
257,97.2058
258,98.0616
259,98.8042
260,98.7535
261,98.3976
262,98.3638
263,97.5696
264,96.2555
265,94.2843
266,92.7594
267,91.0398
268,89.1630
269,86.1730
270,82.4513
271,79.0189
272,76.3231
273,73.6113
274,70.3251
275,67.2982
276,64.3966
277,61.4414
278,58.9563
