t,x,v_{x},a_{x},Ep,Ec,Em
0.000000000E0,9.492631540E-1,,,4.697903349E0,,
3.333333333E-2,9.431352195E-1,-4.086535698E-1,,4.667576201E0,4.216692938E-2,4.709743131E0
6.666666667E-2,9.220195826E-1,-7.613729203E-1,-9.820953617E0,4.563074914E0,1.463714028E-1,4.709446317E0
1.000000000E-1,8.923770248E-1,-1.045494438E0,-9.019624636E0,4.416373896E0,2.759973018E-1,4.692371197E0
1.333333333E-1,8.523199534E-1,-1.365626542E0,-9.585636456E0,4.218131449E0,4.708963028E-1,4.689027752E0
1.666666667E-1,8.013352553E-1,-1.686613766E0,-9.783742954E0,3.965808178E0,7.182781635E-1,4.684086342E0
2.000000000E-1,7.398790357E-1,-2.014881292E0,-1.018098606E1,3.661661348E0,1.025086022E0,4.686747370E0
2.333333333E-1,6.670098358E-1,-2.366101971E0,-1.009465806E1,3.301031677E0,1.413605731E0,4.714637408E0
2.666666667E-1,5.821389043E-1,-2.693749333E0,-9.424886115E0,2.881005437E0,1.832212081E0,4.713217518E0
3.000000000E-1,4.874265469E-1,-2.989697688E0,-9.181377498E0,2.412273981E0,2.256918798E0,4.669192778E0
3.333333333E-1,3.828257251E-1,-3.303493171E0,-9.743396957E0,1.894604513E0,2.755549451E0,4.650153964E0
3.666666667E-1,2.671936689E-1,-3.640796768E0,-1.057842701E1,1.322341467E0,3.346988780E0,4.669330247E0
4.000000000E-1,1.401059405E-1,-4.006485621E0,-1.030762733E1,6.933842996E-1,4.053111575E0,4.746495875E0
4.333333333E-1,9.462747918E-5,-4.339001914E0,,4.683113945E-4,4.753801747E0,4.754270058E0
4.666666667E-1,-1.491608538E-1,,,-7.381970652E-1,,
