#mara1_antes,,,,mara_después,,,,mara2_después,,,
#t,x,v_{x},a_{x},t,x,v_{x},a_{x},t,x,v_{x},a_{x}
0.00E+00,2.10E-05,,,0.00E+00,1.61E-01,,,0.00E+00,1.68E-01,,
3.33E-02,4.21E-02,9.85E-01,,3.33E-02,1.41E-01,-5.58E-01,,3.33E-02,1.83E-01,5.07E-01,
6.67E-02,6.57E-02,7.78E-01,-5.23E+00,6.67E-02,1.24E-01,-5.24E-01,1.40E+00,6.67E-02,2.02E-01,5.21E-01,1.10E+00
1.00E-01,9.39E-02,7.15E-01,3.00E-01,1.00E-01,1.06E-01,-4.79E-01,4.35E-01,1.00E-01,2.18E-01,5.47E-01,5.73E-01
1.33E-01,1.13E-01,7.29E-01,,1.33E-01,9.22E-02,-4.73E-01,1.06E+00,1.33E-01,2.38E-01,5.92E-01,-1.52E-01
1.67E-01,1.43E-01,,,1.67E-01,7.49E-02,-4.40E-01,4.83E-01,1.67E-01,2.57E-01,5.23E-01,-1.82E+00
,,,,2.00E-01,6.29E-02,-4.06E-01,2.90E-01,2.00E-01,2.73E-01,4.66E-01,-6.57E-01
,,,,2.33E-01,4.78E-02,-4.45E-01,-2.42E-01,2.33E-01,2.88E-01,4.76E-01,-1.01E-01
,,,,2.67E-01,3.32E-02,-4.17E-01,1.26E+00,2.67E-01,3.05E-01,4.74E-01,-5.06E-02
,,,,3.00E-01,2.00E-02,-3.61E-01,,3.00E-01,3.20E-01,4.58E-01,-1.52E-01
,,,,3.33E-01,9.15E-03,,,3.33E-01,3.36E-01,4.72E-01,
,,,,,,,,3.67E-01,3.51E-01,,
