#pepon_antes,,,,pepon_después,,,,mara_después,,,
#t,x,v_{x},a_{x},t,x,v_{x},a_{x},t,x,v_{x},a_{x}
0.00E+00,2.47E-05,,,0.00E+00,2.13E-01,,,0.00E+00,2.39E-01,,
3.33E-02,1.58E-02,4.94E-01,,3.33E-02,2.26E-01,3.42E-01,,3.33E-02,2.52E-01,4.40E-01,
6.67E-02,3.30E-02,4.81E-01,-3.05E-01,6.67E-02,2.36E-01,3.22E-01,-6.64E-01,6.67E-02,2.68E-01,5.12E-01,6.80E-02
1.00E-01,4.78E-02,4.59E-01,-3.44E-01,1.00E-01,2.47E-01,3.10E-01,-4.28E-02,1.00E-01,2.86E-01,4.48E-01,-2.11E+00
1.33E-01,6.36E-02,4.68E-01,-3.82E-02,1.33E-01,2.57E-01,3.07E-01,-7.93E-01,1.33E-01,2.98E-01,3.53E-01,-1.22E+00
1.67E-01,7.90E-02,4.54E-01,-7.33E-17,1.67E-01,2.68E-01,2.75E-01,-7.71E-01,1.67E-01,3.09E-01,3.65E-01,4.42E-01
2.00E-01,9.38E-02,4.63E-01,7.63E-02,2.00E-01,2.75E-01,2.35E-01,3.43E-01,2.00E-01,3.23E-01,3.97E-01,1.02E-01
2.33E-01,1.10E-01,4.68E-01,-3.82E-02,2.33E-01,2.83E-01,3.02E-01,8.78E-01,2.33E-01,3.36E-01,3.69E-01,-1.26E+00
2.67E-01,1.25E-01,4.54E-01,-5.34E-01,2.67E-01,2.95E-01,3.12E-01,-2.36E-01,2.67E-01,3.47E-01,3.11E-01,-1.87E-01
3.00E-01,1.40E-01,4.36E-01,-5.87E-17,3.00E-01,3.04E-01,2.67E-01,-4.07E-01,3.00E-01,3.56E-01,3.41E-01,1.02E+00
3.33E-01,1.54E-01,4.45E-01,3.05E-01,3.33E-01,3.13E-01,2.87E-01,1.93E-01,3.33E-01,3.70E-01,4.03E-01,8.33E-01
3.67E-01,1.70E-01,4.68E-01,5.73E-01,3.67E-01,3.23E-01,2.90E-01,8.57E-01,3.67E-01,3.83E-01,3.89E-01,-1.05E+00
4.00E-01,1.85E-01,4.76E-01,-8.78E-01,4.00E-01,3.32E-01,3.27E-01,-1.07E-01,4.00E-01,3.96E-01,3.35E-01,-7.99E-01
4.33E-01,2.02E-01,4.23E-01,,4.33E-01,3.45E-01,3.12E-01,,4.33E-01,4.06E-01,3.21E-01,3.40E-02
4.67E-01,2.13E-01,,,4.67E-01,3.53E-01,,,4.67E-01,4.17E-01,3.51E-01,
,,,,,,,,5.00E-01,4.29E-01,,
