Tiempo [s], Recorrido [m], Posición [m], Velocidad [m/s], Aceleración [m/s^2]
0.0000000,-0.1000000,0.0000000,,
0.0509860,-0.0970000,0.0000000,0.1471151,
0.1019670,-0.0850000,0.0000000,0.2922153,2.5469142
0.1509790,-0.0680000,0.0000000,0.4029443,2.1025881
0.2009630,-0.0450000,0.0000000,0.5000556,1.3715485
0.2509650,-0.0180000,0.0000000,0.5400594,0.2994810
0.3009520,0.0090000,0.0000000,0.5300155,-0.4557756
0.3509630,0.0350000,0.0000000,0.4944706,-1.2965865
0.3999430,0.0580000,0.0000000,0.4028606,-2.1717298
0.4509320,0.0750000,0.0000000,0.2761291,-2.7992137
0.5009430,0.0860000,0.0000000,0.1207478,-3.1530649
0.5519270,0.0870000,0.0000000,-0.0424053,-3.0683956
0.6009360,0.0820000,0.0000000,-0.1865803,-2.9012101
0.6519270,0.0680000,0.0000000,-0.3323621,-2.4540801
0.7009100,0.0490000,0.0000000,-0.4335186,-1.8000816
0.7509010,0.0250000,0.0000000,-0.5099835,-1.0125932
0.8009110,-0.0020000,0.0000000,-0.5347592,-0.0033029
0.8519000,-0.0290000,0.0000000,-0.5093441,0.8454771
0.9008840,-0.0530000,0.0000000,-0.4515986,1.7015392
0.9518980,-0.0740000,0.0000000,-0.3370276,2.3999171
1.0008870,-0.0870000,0.0000000,-0.2122112,2.7000205
1.0518810,-0.0950000,0.0000000,-0.0664487,3.1544916
1.1008630,-0.0940000,0.0000000,0.1019944,3.1051948
1.1498760,-0.0850000,0.0000000,0.2378241,2.5655417
1.2008610,-0.0700000,0.0000000,0.3577156,2.2987712
1.2508610,-0.0490000,0.0000000,0.4700684,1.6241378
1.3008490,-0.0230000,0.0000000,0.5201248,0.4996441
1.3508370,0.0030000,0.0000000,0.5200208,-0.4011524
1.4008450,0.0290000,0.0000000,0.4799952,-1.1992876
1.4508350,0.0510000,0.0000000,0.4001088,-1.9143405
1.5008160,0.0690000,0.0000000,0.2886224,-2.6001950
1.5518290,0.0800000,0.0000000,0.1367340,-2.8719675
1.5998150,0.0830000,0.0000000,0.0036809,-2.8258619
1.6508030,0.0800000,0.0000000,-0.1432817,-2.9125922
1.6998120,0.0690000,0.0000000,-0.2874520,-2.5530643
1.7508030,0.0510000,0.0000000,-0.3970164,-1.9032815
1.8007850,0.0290000,0.0000000,-0.4801224,-1.1301752
1.8507760,0.0030000,0.0000000,-0.5099938,-0.0985065
1.9007870,-0.0220000,0.0000000,-0.4899533,0.6370510
1.9507850,-0.0460000,0.0000000,-0.4462892,1.2984891
2.0017690,-0.0670000,0.0000000,-0.3579826,2.1411484
2.0507600,-0.0820000,0.0000000,-0.2338267,2.7036646
2.1007690,-0.0900000,0.0000000,-0.0899713,2.9171170
2.1507530,-0.0910000,0.0000000,0.0578626,2.9638085
2.2017390,-0.0840000,0.0000000,0.2092970,2.7342133
2.2517520,-0.0700000,0.0000000,0.3344701,2.0558850
2.3007350,-0.0510000,0.0000000,0.4137325,1.5307537
2.3507230,-0.0290000,0.0000000,0.4857928,0.9716297
2.3997260,-0.0030000,0.0000000,0.5108318,-0.1804418
2.4507170,0.0220000,0.0000000,0.4649449,-1.1008919
2.5007050,0.0440000,0.0000000,0.4000640,-1.5495757
2.5507030,0.0620000,0.0000000,0.3100040,-2.3006822
2.6007050,0.0750000,0.0000000,0.1699918,-2.7933503
2.6506930,0.0790000,0.0000000,0.0306967,-2.7074463
2.7016810,0.0780000,0.0000000,-0.1032355,-2.8266987
