t,x,y,v_{x},v_{y},v,a_{x},a_{y},a,Ep,Ec,Em
0.000000000E0,2.045035287E-1,4.853755450E-2,,,,,,,4.756680341E-1,,
3.333333333E-2,1.990756814E-1,4.558958802E-2,-2.333694227E-1,-1.169440725E-1,2.610310394E-1,,,,4.467779626E-1,3.406860177E-2,4.808465644E-1
6.666666667E-2,1.889455672E-1,4.074128300E-2,-3.693562680E-1,-1.676048897E-1,4.056050440E-1,-3.998048958E0,-1.225341218E0,4.181609328E0,3.992645734E-1,8.225772588E-2,4.815222993E-1
1.000000000E-1,1.744519302E-1,3.441592871E-2,-4.993153670E-1,-1.995001797E-1,5.376952273E-1,-3.819843272E0,-6.277016904E-1,3.871073757E0,3.372761013E-1,1.445580787E-1,4.818341800E-1
1.333333333E-1,1.556578761E-1,2.744127102E-2,-6.244335866E-1,-2.090905971E-1,6.585105784E-1,-3.428324907E0,-8.048335421E-2,3.429269491E0,2.689244560E-1,2.168180910E-1,4.857425469E-1
1.666666667E-1,1.328230244E-1,2.047655557E-2,-7.296069686E-1,-2.041204753E-1,7.576222654E-1,-2.996299037E0,2.633755008E-1,3.007852153E0,2.006702445E-1,2.869957485E-1,4.876659931E-1
2.000000000E-1,1.070174115E-1,1.383323933E-2,-8.214984060E-1,-1.913165321E-1,8.434818591E-1,-2.639796065E0,5.973503194E-1,2.706538503E0,1.355657455E-1,3.557308233E-1,4.912965687E-1
2.333333333E-1,7.805646398E-2,7.722120092E-3,-9.072600822E-1,-1.652835625E-1,9.221927742E-1,-2.113257138E0,1.181795624E0,2.421259306E0,7.567677690E-2,4.252197564E-1,5.008965333E-1
2.666666667E-1,4.653340602E-2,2.814335165E-3,-9.639875674E-1,-1.133534467E-1,9.706291949E-1,-1.212991735E0,1.935547383E0,2.284226919E0,2.758048461E-2,4.710605170E-1,4.986410016E-1
3.000000000E-1,1.379062616E-2,1.652236462E-4,-9.871658477E-1,-3.543658129E-2,9.878016816E-1,-2.802113873E-1,2.294192161E0,2.311241245E0,1.619191733E-3,4.878760811E-1,4.894952728E-1
3.333333333E-1,-1.927765049E-2,4.518964119E-4,-9.827744575E-1,4.249281152E-2,9.836926722E-1,6.217283673E-1,2.245820628E0,2.330291067E0,4.428584837E-3,4.838256367E-1,4.882542215E-1
3.666666667E-1,-5.172767101E-2,2.998077747E-3,-9.462614387E-1,1.125159363E-1,9.529273562E-1,1.260652730E0,1.823404227E0,2.216765274E0,2.938116192E-2,4.540352731E-1,4.834164350E-1
4.000000000E-1,-8.236174640E-2,7.952958830E-3,-8.956167931E-1,1.669233062E-1,9.110394230E-1,1.659810932E0,1.370015522E0,2.152188389E0,7.793899654E-2,4.149964151E-1,4.929354117E-1
4.333333333E-1,-1.114354572E-1,1.412629816E-2,-8.149275257E-1,1.986169480E-1,8.387821912E-1,2.135747867E0,7.727997360E-1,2.271263609E0,1.384377220E-1,3.517777821E-1,4.902155041E-1
4.683333333E-1,-1.380484607E-1,2.152511694E-2,-7.311630213E-1,2.169057854E-1,7.626581695E-1,2.904516685E0,3.295942977E-1,2.923157467E0,2.109461460E-1,2.908237417E-1,5.017698877E-1
5.016666667E-1,-1.613982637E-1,2.894819350E-2,-6.371343437E-1,2.234743015E-1,6.751895552E-1,3.488245716E0,-1.954771031E-1,3.493718574E0,2.836922963E-1,2.279404677E-1,5.116327640E-1
5.350000000E-1,-1.805240836E-1,3.642340371E-2,-5.091624045E-1,2.110297490E-1,5.511623256E-1,3.930107728E0,-8.208389267E-1,4.014912614E0,3.569493563E-1,1.518899546E-1,5.088393109E-1
