#t	x	v_{x}	a_{x}
0.000000000E0	4.820867643E-5	0	0
1.666666667E-2	1.435374683E-3	8.979008378E-2	0
3.333333333E-2	3.041211469E-3	1.210017756E-1	2.756733240E0
5.166666667E-2	5.670436829E-3	1.805867817E-1	2.631009057E0
6.833333333E-2	9.361748830E-3	2.236057775E-1	2.036376656E0
8.500000000E-2	1.312396274E-2	2.530808061E-1	2.360265070E0
1.016666667E-1	1.779777570E-2	3.061208276E-1	3.023710263E0
1.183333333E-1	2.332799033E-2	3.541183806E-1	2.821592231E0
1.350000000E-1	2.960172172E-2	3.995700190E-1	2.302566194E0
1.516666667E-1	3.664699096E-2	4.328496291E-1	2.398776581E0
1.683333333E-1	4.403004269E-2	4.746010731E-1	2.709233841E0
1.850000000E-1	5.246702673E-2	5.276779343E-1	2.970789962E0
2.016666667E-1	6.161930717E-2	5.719785595E-1	2.745809202E0
2.183333333E-1	7.153297872E-2	6.191849028E-1	2.575013507E0
2.350000000E-1	8.225880393E-2	6.592654250E-1	3.062129597E0
2.516666667E-1	9.350849288E-2	7.163549723E-1	2.873111950E0
2.683333333E-1	1.061373030E-1	7.637513410E-1	2.453225379E0
2.850000000E-1	1.189668709E-1	7.909187461E-1	1.855411851E0
3.016666667E-1	1.325012612E-1	8.284398556E-1	1.922491802E0
3.183333333E-1	1.465815328E-1	8.551796428E-1	2.771168190E0
3.350000000E-1	1.610072493E-1	9.144472689E-1	3.148766463E0
3.516666667E-1	1.770631084E-1	9.714708032E-1	2.553809833E0
3.683333333E-1	1.933896094E-1	9.929930176E-1	2.381525485E0
3.850000000E-1	2.101628757E-1	1.047633442E0	2.877192508E0
4.016666667E-1	2.283107241E-1	1.097529866E0	2.393570731E0
4.183333333E-1	2.467472045E-1	1.121775400E0	1.311626748E0
4.350000000E-1	2.657032375E-1	1.143578935E0	1.915561775E0
4.516666667E-1	2.848665023E-1	1.180754431E0	2.223748941E0
4.683333333E-1	3.050617185E-1	1.223917548E0	2.899602778E0
4.850000000E-1	3.256637539E-1	1.271428468E0	2.560510440E0
5.016666667E-1	3.474426674E-1	1.316252273E0	1.134284466E0
5.183333333E-1	3.695388297E-1	1.309270497E0	1.763510477E0
5.350000000E-1	3.910850173E-1	1.359438375E0	3.122569375E0
5.516666667E-1	4.148534422E-1	1.433678996E0	3.066264092E0
5.683333333E-1	4.388743172E-1	1.452657829E0	2.207720638E0
5.850000000E-1	4.632753698E-1	1.503773513E0	1.311938595E0
6.016666667E-1	4.890001009E-1	1.510777882E0	4.056964138E0
6.183333333E-1	5.136346325E-1	1.605748641E0	-4.290730385E-1
6.350000000E-1	5.425250556E-1	1.562101624E0	2.307621243E0
6.516666667E-1	5.657046867E-1	1.587392380E0	1.951872788E0
6.683333333E-1	5.954381350E-1	1.717338506E0	4.109011618E0
6.850000000E-1	6.229493035E-1	1.673904356E0	1.122201733E0
7.016666667E-1	6.512349468E-1	1.761686511E0	0
7.183333333E-1	6.816721872E-1	0	0
