#t	x	v_{x}	a_{x}
0.000000000E0	-4.113617067E-4	0	0	
1.666666667E-2	8.774359289E-4	8.324658108E-2	0
3.333333333E-2	2.363524329E-3	1.205925241E-1	1.458098714E0
5.000000000E-2	4.897186734E-3	1.414880703E-1	1.421540428E0
6.666666667E-2	7.079793339E-3	1.567882830E-1	2.016568503E0
8.333333333E-2	1.012346283E-2	2.132205950E-1	2.267560840E0
1.000000000E-1	1.418714650E-2	2.382256868E-1	2.425509777E0
1.166666667E-1	1.806431906E-2	2.811669634E-1	2.321169353E0
1.333333333E-1	2.355937862E-2	3.301947646E-1	2.151923394E0
1.500000000E-1	2.907081121E-2	3.441769913E-1	1.951662967E0
1.666666667E-1	3.503194499E-2	3.938637856E-1	3.141928502E0
1.833333333E-1	4.219960407E-2	4.539144520E-1	2.467821266E0
2.000000000E-1	5.016242673E-2	4.777693596E-1	1.930493399E0
2.166666667E-1	5.812524939E-2	5.102205095E-1	6.708588507E-1
2.333333333E-1	6.716977704E-2	5.135616510E-1	2.219780853E0
2.500000000E-1	7.524397109E-2	5.604091136E-1	1.253871427E0
2.666666667E-1	8.585008083E-2	5.881116364E-1	2.516728396E0
2.833333333E-1	9.484769230E-2	6.096862178E-1	6.497268972E-2
3.000000000E-1	1.061729548E-1	6.249214379E-1	1.396089104E0
3.166666667E-1	1.156784069E-1	6.231083287E-1	1.395188611E0
3.333333333E-1	1.269432324E-1	6.920050391E-1	3.539628449E0
3.500000000E-1	1.387452415E-1	7.344052469E-1	3.204135600E0
3.666666667E-1	1.514234073E-1	7.986013429E-1	1.722315732E0
3.833333333E-1	1.653652863E-1	8.035951549E-1	-6.646346199E-1
4.000000000E-1	1.782099124E-1	7.627573733E-1	9.964098748E-1
4.166666667E-1	1.907905321E-1	8.286970120E-1	2.126656496E0
4.333333333E-1	2.058331462E-1	8.617147714E-1	1.377843868E0
4.500000000E-1	2.195143578E-1	8.484630875E-1	1.152554214E0
4.666666667E-1	2.341152491E-1	9.091261313E-1	2.483872907E0
4.833333333E-1	2.498185622E-1	9.374457072E-1	1.526523427E0
5.000000000E-1	2.653634393E-1	9.512731926E-1	9.576530557E-1
5.166666667E-1	2.815276686E-1	9.746675360E-1	2.781726314E0
5.333333333E-1	2.978523572E-1	1.033619247E0	1.061383981E0
5.500000000E-1	3.160214608E-1	1.033198265E0	2.928409425E-1
5.666666667E-1	3.322922993E-1	1.014880985E0	1.191719938E0
5.833333333E-1	3.498508270E-1	1.087252577E0	3.817084600E0
6.000000000E-1	3.685340519E-1	1.143083079E0	2.237361308E0
6.166666667E-1	3.879535963E-1	1.163553740E0	1.522391526E0
6.333333333E-1	4.073191766E-1	1.186676704E0	1.644142363E0
6.500000000E-1	4.275094864E-1	1.223878835E0	3.849351240E0
6.666666667E-1	4.481151377E-1	1.305179571E0	1.845980990E0
6.833333333E-1	4.710154721E-1	1.312140193E0	1.912671187E0
7.000000000E-1	4.918531442E-1	1.330025879E0	1.997103965E0
7.166666667E-1	5.153496681E-1	1.410271837E0	1.819953434E0
7.333333333E-1	5.388622054E-1	1.383348055E0	7.175573248E-1
7.500000000E-1	5.614612699E-1	1.417498501E0	1.859255466E0
7.666666667E-1	5.861121554E-1	1.468353654E0	9.735780039E-1
7.833333333E-1	6.104063917E-1	1.440544788E0	3.435022945E0
8.000000000E-1	6.341303150E-1	1.559987128E0	0
8.166666667E-1	6.624059626E-1	0	0

