t,x,y,v_{x},v_{y},v,a_{x},a_{y},a,Ep,Ec,Em
0.000000000E0,2.095968877E-1,4.974642942E-2,,,,,,,2.681332546E-2,,
3.333333333E-2,2.040338545E-1,4.672504097E-2,-2.391817148E-1,-1.198566782E-1,2.675322709E-1,,,,2.518479708E-2,1.968271690E-3,2.715306877E-2
6.666666667E-2,1.936514400E-1,4.175598421E-2,-3.785554445E-1,-1.717792522E-1,4.157070315E-1,-4.097624249E0,-1.255859531E0,4.285756368E0,2.250647549E-2,4.752339241E-3,2.725881473E-2
1.000000000E-1,1.787968249E-1,3.527309083E-2,-5.117513010E-1,-2.044689254E-1,5.510870490E-1,-3.914980178E0,-6.433352104E-1,3.967486608E0,1.901219596E-2,8.351665727E-3,2.736386168E-2
1.333333333E-1,1.595346866E-1,2.812472251E-2,-6.399857114E-1,-2.142982014E-1,6.749114238E-1,-3.513710668E0,-8.248787029E-2,3.514678777E0,1.515922544E-2,1.252639932E-2,2.768562476E-2
1.666666667E-1,1.361311108E-1,2.098654406E-2,-7.477785386E-1,-2.092042939E-1,7.764915836E-1,-3.070924774E0,2.699351234E-1,3.082765631E0,1.131174725E-2,1.658082743E-2,2.789257468E-2
2.000000000E-1,1.096827840E-1,1.417776959E-2,-8.419586215E-1,-1.960814561E-1,8.644895937E-1,-2.705542749E0,6.122279091E-1,2.773947472E0,7.641817808E-3,2.055191209E-2,2.819372989E-2
2.333333333E-1,8.000053600E-2,7.914446990E-3,-9.298562754E-1,-1.694001101E-1,9.451608806E-1,-2.165889859E0,1.211229392E0,2.481563120E0,4.265886928E-3,2.456654998E-2,2.883243691E-2
2.666666667E-1,4.769236568E-2,2.884428915E-3,-9.879966137E-1,-1.161766243E-1,9.948036574E-1,-1.243202472E0,1.983754069E0,2.341117809E0,1.554707185E-3,2.721494371E-2,2.876965090E-2
3.000000000E-1,1.413409509E-2,1.693387015E-4,-1.011752172E0,-3.631916376E-2,1.012403842E0,-2.871903240E-1,2.351331244E0,2.368804953E0,9.127356013E-5,2.818644231E-2,2.827771587E-2
3.333333333E-1,-1.975777909E-2,4.631513308E-4,-1.007251410E0,4.355113624E-2,1.008192493E0,6.372131159E-1,2.301754971E0,2.388329228E0,2.496385673E-4,2.795243285E-2,2.820207141E-2
3.666666667E-1,-5.301599888E-2,3.072747785E-3,-9.698289985E-1,1.153182549E-1,9.766609372E-1,1.292050510E0,1.868817880E0,2.271975966E0,1.656211056E-3,2.623133112E-2,2.788754218E-2
4.000000000E-1,-8.441304566E-2,8.151034992E-3,-9.179229989E-1,1.710806932E-1,9.337297444E-1,1.701150135E0,1.404137089E0,2.205790730E0,4.393407861E-3,2.397590898E-2,2.836931684E-2
4.333333333E-1,-1.142108655E-1,1.447812733E-2,-8.352240870E-1,2.035636959E-1,8.596728761E-1,2.188940741E0,7.920470638E-1,2.327831635E0,7.803710633E-3,2.032352998E-2,2.812724061E-2
4.683333333E-1,-1.414866916E-1,2.206122088E-2,-7.493733462E-1,2.223080346E-1,7.816529117E-1,2.976856493E0,3.378031637E-1,2.995961542E0,1.189099805E-2,1.680198504E-2,2.869298310E-2
5.016666667E-1,-1.654180441E-1,2.966917636E-2,-6.530027932E-1,2.290401460E-1,6.920058066E-1,3.575123862E0,-2.003456502E-1,3.580733027E0,1.599168606E-2,1.316898100E-2,2.916066706E-2
5.350000000E-1,-1.850202112E-1,3.733056394E-2,-5.218435886E-1,2.162856498E-1,5.648895584E-1,4.027990877E0,-8.412827171E-1,4.114907911E0,2.012117396E-2,8.775255864E-3,2.889642983E-2
5.683333333E-1,-2.002076167E-1,4.408821968E-2,-3.849259477E-1,1.731873320E-1,4.220922141E-1,3.998868741E0,-1.541521558E0,4.285701800E0,2.376355041E-2,4.899450522E-3,2.866300093E-2
6.016666667E-1,-2.106819410E-1,4.887638608E-2,-2.532281359E-1,1.115923888E-1,2.767261283E-1,4.296604326E0,-1.965204537E0,4.724705028E0,2.634437209E-2,2.105877127E-3,2.845024922E-2
6.350000000E-1,-2.170894924E-1,5.152771227E-2,-1.037898989E-1,4.252409915E-2,1.121634616E-1,4.372261846E0,-2.041911868E0,4.825565016E0,2.777343691E-2,3.459676584E-4,2.811940457E-2
6.683333333E-1,-2.176012676E-1,5.171132602E-2,4.603879382E-2,-2.602698013E-2,5.288642767E-2,4.345819421E0,-2.105322411E0,4.828926267E0,2.787240472E-2,7.691679136E-5,2.794932152E-2
7.016666667E-1,-2.140202395E-1,4.979258026E-2,1.804122583E-1,-9.605407116E-2,2.043892549E-1,4.240100937E0,-2.001122070E0,4.688597391E0,2.683820076E-2,1.148811607E-3,2.798701237E-2
7.350000000E-1,-2.055737837E-1,4.530772127E-2,3.298687231E-1,-1.620049501E-1,3.675037120E-1,4.597470567E0,-1.645797707E0,4.883173733E0,2.442086177E-2,3.714121903E-3,2.813498367E-2
7.683333333E-1,-1.920289913E-1,3.899225026E-2,4.868355658E-1,-2.057885277E-1,5.285430789E-1,4.926321671E0,-1.139692869E0,5.056436002E0,2.101682289E-2,7.682339121E-3,2.869916201E-2
8.016666667E-1,-1.731180793E-1,3.158848610E-2,6.574833841E-1,-2.366492326E-1,6.987755431E-1,4.020517026E0,-4.631365580E-1,4.047104227E0,1.702619401E-2,1.342789964E-2,3.045409365E-2
8.350000000E-1,-1.481967657E-1,2.321563475E-2,7.664437379E-1,-2.400729808E-1,8.031631462E-1,2.753141183E0,3.483501623E-1,2.775091748E0,1.251322713E-2,1.773945359E-2,3.025268071E-2
