#mara_antes,,,,mara_después,,,,pepon_después,,,
#t,x,v_{x},a_{x},t,x,v_{x},a_{x},t,x,v_{x},a_{x}
0.00E+00,1.07E-04,,,0.00E+00,1.25E-01,,,0.00E+00,1.89E-01,,
3.33E-02,4.13E-02,1.31E+00,,3.33E-02,1.61E-01,2.40E-01,,3.33E-02,1.93E-01,2.11E-01,
6.67E-02,8.75E-02,1.26E+00,,6.67E-02,1.41E-01,-5.58E-01,-1.34E+01,6.67E-02,2.03E-01,3.11E-01,1.20E+00
1.00E-01,1.25E-01,,,1.00E-01,1.24E-01,-5.24E-01,1.40E+00,1.00E-01,2.13E-01,2.86E-01,-3.01E-01
,,,,1.33E-01,1.06E-01,-4.79E-01,4.35E-01,1.33E-01,2.22E-01,2.76E-01,-4.30E-02
,,,,1.67E-01,9.22E-02,-4.73E-01,1.06E+00,1.67E-01,2.32E-01,2.96E-01,-2.15E-01
,,,,2.00E-01,7.49E-02,-4.40E-01,4.83E-01,2.00E-01,2.42E-01,2.61E-01,-3.44E-01
,,,,2.33E-01,6.29E-02,-4.06E-01,2.90E-01,2.33E-01,2.49E-01,2.61E-01,4.30E-01
,,,,2.67E-01,4.78E-02,-4.45E-01,-2.42E-01,2.67E-01,2.59E-01,3.01E-01,8.61E-02
,,,,3.00E-01,3.32E-02,-4.17E-01,1.26E+00,3.00E-01,2.69E-01,2.71E-01,-9.47E-01
,,,,3.33E-01,2.00E-02,-3.61E-01,,3.33E-01,2.77E-01,2.26E-01,
,,,,3.67E-01,9.15E-03,,,3.67E-01,2.84E-01,,
